"","Date","Quarter","Year","Real.GDP.growth","Nominal.GDP.growth","Real.dispo.sable.income.growth","Nominal.dispo.sable.income.growth","Un.employ.ment.rate","CPI.inflation.rate","X3.month.Treasury.rate","X5.year.Treasury.yield","X10.year.Treasury.yield","BBB.corporate.yield","Mortgage.rate","Prime.rate","Dow.Jones.Total.Stock.Market.Index..Level.","House.Price.Index..Level.","Com.mercial.Real.Estate.Price.Index..Level.","Market.Volatility.Index..Level.","Term.Spread","Annualized.Real.GDP.growth","Quarterly.change.in.10.year.Treasury.yield","Stock.Market.returns","Quarterly.change.in.BBB.bond.spread","Quarterly.change.in.BBB.Spread.if.change.is.positive","Home.price.growth","Commercial.Property.Price.Growth","Home.price.growth.if.growth.is.negative","Commercial.Property.Price.Growth.Negative","Annualized.Change.in.Unemployment","Time.trend"
"55","Q3 2014",3,2014,3.1,3.8,2.7,3.6,6.1,1.1,0,1.7,2.5,4.2,4.1,3.3,20458.8,172.1,236,17,2.5,2.275,-0.2,-0.00535739505743571,-0.0999999999999996,0,5.6782506103783,5.75572969724814,0,0,-0.400000000000002,23.75
"56","Q4 2014",4,2014,3,3.9,2.7,3.8,5.9,1.6,0.1,1.9,2.7,4.3,4.3,3.3,20683.7,173.2,238.9,18.1,2.6,2.15,0.2,0.0109328426873265,0.0999999999999996,0.0999999999999996,4.00524677412264,4.14500694911792,0,0,-0.799999999999997,24
"57","Q1 2015",1,2015,2.9,4.2,2.9,4.4,5.8,1.9,0.1,2,2.9,4.6,4.5,3.3,20926.1,174.3,241.9,18.6,2.8,3.4,0.2,0.0116512332272087,0.3,0.3,2.67457802857942,6.0934715363806,0,0,-0.400000000000002,24.25
"58","Q2 2015",2,2015,2.9,4.5,2.7,4.3,5.7,2,0.3,2.3,3.1,4.8,4.7,3.4,21186.1,175.3,245,19.2,2.8,2.975,0.2,0.0123481225697599,0.2,0.2,2.60055105727188,5.02197569790273,0,0,-0.399999999999999,24.5
"59","Q3 2015",3,2015,2.9,4.7,2.7,4.4,5.6,2.1,0.6,2.5,3.3,5,4.9,3.7,21457.4,176.4,248.1,19.6,2.7,2.925,0.2,0.0127242679628754,0.2,0.2,2.46784403551974,5.00000856721448,0,0,-0.400000000000002,24.75
"60","Q4 2015",4,2015,2.9,4.9,2.8,4.6,5.4,2.1,0.9,2.7,3.5,5.1,5.1,4,21739.5,177.6,251.2,19.5,2.6,2.9,0.2,0.0130613081243247,0.0999999999999996,0.0999999999999996,2.5086834429735,5.02043802622794,0,0,-0.799999999999997,25
"61","Q1 2016",1,2016,2.9,4.7,2.9,4.7,5.4,2.1,1.4,3,3.6,5.3,5.2,4.5,22015.5,178.9,253.1,20.9,2.2,2.9,0.1,0.0126158683886821,0.2,0.2,2.60490379886988,4.52602499350965,0,0,0,25.25
"62","Q2 2016",2,2016,2.9,4.8,2.9,4.7,5.4,2.2,1.8,3.2,3.7,5.4,5.4,4.9,22304.2,180.2,255,20.7,1.9,2.9,0.1,0.0130282508021189,0.100000000000001,0.100000000000001,2.75685532470487,4.00053346136984,0,0,0,25.5
"63","Q3 2016",3,2016,2.9,4.9,2.9,4.8,5.3,2.2,2.1,3.4,3.9,5.5,5.5,5.2,22598.2,181.6,256.9,21.2,1.8,2.9,0.2,0.0130952555492847,0.0999999999999996,0.0999999999999996,2.90523225945023,3.48550134180829,0,0,-0.400000000000002,25.75
"64","Q4 2016",4,2016,2.9,4.9,2.9,4.8,5.3,2.3,2.4,3.6,4,5.6,5.6,5.4,22898,183,258.8,21.3,1.6,2.9,0.1,0.0131793134129907,0.0999999999999996,0.0999999999999996,2.99523222833518,2.98061280327024,0,0,0,26
"65","Q1 2017",1,2017,2.7,4.8,3.1,5.1,5.3,2.3,2.6,3.7,4.1,5.8,5.7,5.7,23196.2,184.3,260.8,21.7,1.5,2.85,0.0999999999999996,0.0129389016516406,0.2,0.2,2.97378741611043,2.99691625014198,0,0,0,26.25
"66","Q2 2017",2,2017,2.7,4.8,2.8,4.9,5.3,2.3,2.8,3.8,4.2,5.8,5.8,5.9,23497.5,185.7,262.7,21.7,1.4,2.8,0.100000000000001,0.0129055603590587,0,0,3.00651231844231,2.97491515330686,0,0,0,26.5
"67","Q3 2017",3,2017,2.6,4.8,2.8,4.8,5.3,2.4,3,3.9,4.2,5.9,5.9,6.1,23801.1,187.1,264.7,21.9,1.2,2.725,0,0.0128377655844627,0.100000000000001,0.100000000000001,2.9836767112851,2.99102051172175,0,0,0,26.75
"68","Q4 2017",4,2017,2.6,4.7,2.7,4.8,5.3,2.4,3.2,4,4.3,6,6,6.2,24107.6,188.5,266.7,22,1.1,2.65,0.0999999999999996,0.0127953453837115,0.0999999999999996,0.0999999999999996,2.96118540466441,3.00688685612229,0,0,0,27
