"","Date","Quarter","Year","Real.GDP.growth","Nominal.GDP.growth","Real.dispo.sable.income.growth","Nominal.dispo.sable.income.growth","Un.employ.ment.rate","CPI.inflation.rate","X3.month.Treasury.rate","X5.year.Treasury.yield","X10.year.Treasury.yield","BBB.corporate.yield","Mortgage.rate","Prime.rate","Dow.Jones.Total.Stock.Market.Index..Level.","House.Price.Index..Level.","Com.mercial.Real.Estate.Price.Index..Level.","Market.Volatility.Index..Level.","Term.Spread","Annualized.Real.GDP.growth","Quarterly.change.in.10.year.Treasury.yield","Stock.Market.returns","Quarterly.change.in.BBB.bond.spread","Quarterly.change.in.BBB.Spread.if.change.is.positive","Home.price.growth","Commercial.Property.Price.Growth","Home.price.growth.if.growth.is.negative","Commercial.Property.Price.Growth.Negative","Annualized.Change.in.Unemployment","Time.trend"
"55","Q3 2014",3,2014,3.1,3.8,2.7,3.6,6.1,1.1,0,1.7,2.5,4.2,4.1,3.3,20458.8,172.1,236,17,2.5,2.275,-0.2,-0.00535739505743571,-0.0999999999999996,0,5.6782506103783,5.75572969724814,0,0,-0.400000000000002,23.75
"56","Q4 2014",4,2014,-3.9,-2.8,-3,-0.1,6.9,4.3,0.1,0.4,0.9,4.7,4.2,3.3,17133.5,169.5,238.9,79,0.8,0.425,-1.6,-0.177377496404892,0.5,0.5,1.84583984333964,4.14500694911792,0,0,3.2,24
"57","Q1 2015",1,2015,-6.1,-4.7,-4.4,-2.3,8,3,0.1,0.4,1,5.6,4.6,3.3,12498.5,164,230.2,71.3,0.9,-0.575,0.1,-0.315426974264476,0.899999999999999,0.899999999999999,-3.4165744415982,1.13587940356066,-3.4165744415982,0,4.4,24.25
"58","Q2 2015",2,2015,-3.9,-2.4,-3.4,-2.2,8.8,1.7,0.1,0.4,1.2,6,4.8,3.3,10190.1,157.6,213.6,76.9,1.1,-2.7,0.2,-0.20419197637851,0.4,0.4,-8.04331039306909,-8.69333464796602,-8.04331039306909,-8.69333464796602,3.2,24.5
"59","Q3 2015",3,2015,-3.2,-1.7,-2.4,-1.4,9.5,1.3,0.1,0.4,1.3,6.3,5,3.3,8770.7,150.7,195.1,68.1,1.2,-4.275,0.1,-0.150000039970466,0.3,0.3,-13.2784597585044,-19.0319557396545,-13.2784597585044,-19.0319557396545,2.8,24.75
"60","Q4 2015",4,2015,-1.5,0,-1.5,-0.7,9.9,1.1,0.1,0.4,1.5,6.2,5,3.2,8606.3,144.3,177.6,48.1,1.4,-3.675,0.2,-0.0189221275494518,-0.0999999999999996,0,-16.0958461040679,-29.6511223773694,-16.0958461040679,-29.6511223773694,1.6,25
"61","Q1 2016",1,2016,1.2,2.4,0.2,1.5,10,1.6,0.1,0.5,1.5,6,4.9,3.2,9087.3,138.4,164.4,38.4,1.4,-1.85,0,0.0543833411551056,-0.2,0,-16.9718384640629,-33.6646013665702,-16.9718384640629,-33.6646013665702,0.399999999999999,25.25
"62","Q2 2016",2,2016,1.2,2.5,0.4,1.8,10.1,1.9,0.1,0.6,1.6,5.8,4.8,3.2,9607.2,133.4,157.4,30.7,1.5,-0.575,0.1,0.0556349829999796,-0.2,0,-16.6708043942255,-30.5314771102737,-16.6708043942255,-30.5314771102737,0.399999999999999,25.5
"63","Q3 2016",3,2016,3,4.4,1.2,2.8,10,2,0.1,0.8,1.8,5.6,4.8,3.2,10480.7,130.4,154.4,25.5,1.7,0.975,0.2,0.0870226531910756,-0.2,0,-14.4684456139897,-23.396561003839,-14.4684456139897,-23.396561003839,-0.399999999999999,25.75
"64","Q4 2016",4,2016,3,4.3,1.8,3.3,9.9,1.9,0.1,0.9,1.9,5.5,4.7,3.2,11521.4,128.4,154.6,21.6,1.8,2.1,0.0999999999999999,0.0946707051062088,-0.0999999999999996,0,-11.6744074523965,-13.8692694404748,-11.6744074523965,-13.8692694404748,-0.399999999999999,26
"65","Q1 2017",1,2017,3.9,5.2,2.7,4.2,9.7,1.9,0.1,1.1,2,5.3,4.7,3.2,12894.7,127.9,156.1,18.7,1.9,2.775,0.1,0.112610198569726,-0.2,0,-7.88993345987725,-5.18056551006936,-7.88993345987725,-5.18056551006936,-0.800000000000004,26.25
"66","Q2 2017",2,2017,3.9,5.2,2.8,4.1,9.5,1.7,0.1,1.2,2.1,5.2,4.7,3.2,14079.2,128.4,159.6,17.6,2,3.45,0.1,0.0878821567025163,-0.0999999999999996,0,-3.82017422256631,1.3880349032406,-3.82017422256631,0,-0.799999999999997,26.5
"67","Q3 2017",3,2017,3.9,5.1,2.9,4.2,9.3,1.6,0.1,1.3,2.2,5.1,4.7,3.2,15430.3,129.5,164,16.4,2.1,3.675,0.1,0.0916345778964001,-0.100000000000001,0,-0.692576835295977,6.03197902335229,-0.692576835295977,0,-0.799999999999997,26.75
"68","Q4 2017",4,2017,3.9,5.1,3,4.3,9.1,1.6,0.1,1.5,2.3,5.1,4.7,3.2,16487.6,131,169.1,16.5,2.2,3.9,0.0999999999999996,0.0662754743956864,0,0,2.00469319452905,8.9649119751213,0,0,-0.800000000000004,27
