Variable,Agriculture,CI,Compensation.Noninterest.Expense.Ratio,Construction.Commercial.Real.Estate,Credit.Card,FirstLien.Residential.Real.Estate,Fixed.Asset.Noninterest.Expense.Ratio,HELOC.Residential.Real.Estate,Junior.Lien.Residential.Real.Estate,Leases,Loans.to.Depository.Institutions,Loans.to.Foreign.Governments,Multifamily.Commercial.Real.Estate,Net.Interest.Margin,NonFarm.NonResidential.CRE,Noninterest.Nontrading.Income.Ratio,Other,Other.Consumer,Other.Noninterest.Expense.Ratio,Other.Real.Estate,Return.on.AFS.Securities,Return.on.Trading.Assets
Annualized.Real.GDP.growth,0,0,0,0,0,0,0.000552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3.Month.Treasury.Yield,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0
Quarterly.change.in.10.year.Treasury.yield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.58,0
Quarterly.change.in.BBB.bond.spread,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0,-0.671
Quarterly.change.in.BBB.Spread.if.change.is.positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.559
Interaction.BBB.Spread.change.and.Risky.AFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031,0
Term.Spread,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426,0,0,0,0,0,0,0,0
Home.price.growth,0,0,0,0,0,-0.00147,0,-0.00492,-0.0153,0,0,0,0,0,0,0,0,0,0,0,0,0
Home.price.growth.if.growth.is.negative,0,0,0,0,0,-0.0192,0,-0.0284,-0.0671,0,0,0,0,0,0,0,0,0,0,0,0,0
Commercial.Property.Price.Growth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00933,0,0
Commercial.Property.Price.Growth.Negative,0,0,0,-0.0473,0,0,0,0,0,0,0,0,-0.0114,0,-0.00928,0,0,0,0,-0.00365,0,0
Annualized.Change.in.Unemployment,0.0297,0.133,0,0,0.359,0,0,0,0,0.102,0.087,0.051,0,0,0,0,0.117,0.15,0,0,0,0
Stock.Market.returns,0,0,0.00345,0,0,0,0,0,0,0,0,0,0,0,0,0.00407,0,0,0,0,0,0
Lagged.dependent.variable,0.597,0.798,0.894,0.801,0.856,0.884,0.853,0.893,0.867,0.635,0.574,0.351,0.776,0.793,0.823,0.904,0.558,0.701,0.816,0.573,0.128,0.284
Time.trend,0,0,0,0,0,0,-0.00186,0,0,0,0,0,0,-0.00528,0,0,0,0.0191,0,0,0,0
Residential.RE.Loans.Ratio,0,0,-0.000722,0,0,0,-0.000321,0,0,0,0,0,0,0.00476,0,-0.00155,0,0,-0.00227,0,0,0
Commercial.RE.Loans.Ratio,0,0,-0.00109,0,0,0,-0.000328,0,0,0,0,0,0,0.00648,0,-0.00364,0,0,-0.000938,0,0,0
CI.Loans.Ratio,0,0,-0.000229,0,0,0,-0.00047,0,0,0,0,0,0,0.00685,0,-0.000877,0,0,-0.00171,0,0,0
Credit.Card.Loans.Ratio,0,0,-0.00115,0,0,0,-0.000554,0,0,0,0,0,0,0.0184,0,0.0099,0,0,0.0153,0,0,0
Trading.Assets.Ratio,0,0,-0.00252,0,0,0,-0.00129,0,0,0,0,0,0,-0.00626,0,-0.00146,0,0,-0.000807,0,0,0
Securities.Ratio,0,0,-0.00172,0,0,0,-0.000853,0,0,0,0,0,0,0.00393,0,0.00309,0,0,0.00886,0,0,0
Asset.Share,0,0,-2.07E-05,0,0,0,-7.56E-05,0,0,0,0,0,0,0.00743,0,-0.00581,0,0,-0.00369,0,0,0
FRB_intercept,0.118097639,0.170421708,0.28748607,0.118563505,0.690945354,0.049051925,0.138234277,0.089552089,0.248544101,0.200897918,0.055749027,0.614004327,0.025687784,0.124250281,0.034779898,0.254670561,0.149025809,0.456868913,0.098938933,0.137152419,0.027547469,2.080709322
