Bank,SNL Institution Key ,Flag
1854 Bancorp,4346236,0
1867 Western Financial Corporation,1022397,0
1st Constitution Bancorp,4053361,0
1st Source Corporation,100444,1
"1st Summit Bancorp of Johnstown, Inc.",1023101,0
215 Holding Company,1021899,0
473 Broadway Holding Corporation,1016834,0
Access National Corporation,4078679,0
ACNB Corporation,100603,0
"Adam Bank Group, Inc.",4141816,0
"Adbanc, Inc.",1017120,0
"Adirondack Bancorp, Inc.",4041567,0
"AFNB Holdings, Inc.",4149468,0
Albank Corporation,1021491,0
Alerus Financial Corporation,1023992,0
"AliKat Investments, Inc.",1974171,0
"Allegiance Bancshares, Inc.",4222469,0
"Alliance Bancshares, Inc.",1024100,0
"Alliance Financial Services, Inc.",1019515,0
Ally Financial Inc.,102864,1
"Alpine Bancorporation, Inc.",1019712,0
Alpine Banks of Colorado,1017443,0
"Altrust Financial Services, Inc.",1020188,0
Amalgamated Investments Company,1016569,0
"Amarillo National Bancorp, Inc.",1018855,1
"Ambank Company, Inc.",1021049,0
Amboy Bancorporation,1974097,0
Ameriana Bancorp,101668,0
"American Bancor, Ltd.",1019981,0
"American Bancorp of Oklahoma, Inc.",1020164,0
"American Bancorporation, Inc.",1016983,0
American Bank Holding Corporation,1018984,0
American Bank Incorporated,4073262,0
"American Central Bancorporation, Inc.",1018358,0
"American Chartered Bancorp, Inc.",1022411,0
"American Community Financial, Inc.",4074157,0
American Express Company,102700,1
"American International Group, Inc.",103330,1
American National Bankshares Inc.,100626,0
American National Corporation,1017338,0
American River Bankshares,1024658,0
"American State Bancshares, Inc.",1017711,0
"American State Bank Holding Company, Inc.",1974076,0
"Americo Bancshares, Inc.",1018854,0
Ameri-National Corporation,4049022,0
Ameris Bancorp,100594,1
"AmeriServ Financial, Inc.",100467,0
Ames National Corporation,1021094,0
ANB Corporation,1024726,0
Anchor Bancorp,4220185,0
Anchor BanCorp Wisconsin Inc.,102183,0
"Anchor Bancorp, Inc.",1019471,0
"Androscoggin Bancorp, MHC",4048912,0
"Apple Financial Holdings, Inc.",4161755,1
"Arbor Bancorp, Inc.",1027773,0
Armed Forces Benefit Association,4049173,0
Arrow Financial Corporation,100134,0
Arthur Financial Corporation,4091013,0
"Arvest Bank Group, Inc.",1018366,1
"ASB Bancorp, Inc.",4289733,0
Assabet Valley Bancorp,1974137,0
Associated Banc-Corp,100135,1
"Associated Community Bancorp, Inc.",4056116,0
Astoria Financial Corporation,102333,1
ATBancorp,1020050,0
"Atlantic Capital Bancshares, Inc.",4155740,0
Atlantic Coast Financial Corporation,4086903,0
"Auburn National Bancorporation, Inc.",100877,0
"Austin BanCorp, Inc.",1018913,0
"Avenue Financial Holdings, Inc.",4161758,0
"Axiom Bancshares, Inc.",4088283,0
B.P.C. Corporation,1018058,0
Backlund Investment Co.,1018352,0
Baker Boyer Bancorp,1020594,0
Banc Ed Corp.,1023989,0
"Banc of California, Inc.",4074352,1
BancFirst Corporation,100534,1
BancIndependent Incorporated,1018084,0
"Bancorp of New Jersey, Inc.",4154916,0
"Bancorp, Inc.",4054569,1
"BancorpSouth, Inc.",100163,1
BancPlus Corporation,1018456,0
"Bancshares of Jackson Hole, Incorporated",1023455,0
BancTenn Corp.,1020071,0
BancWest Corporation,100259,1
"Bangor Bancorp, MHC",4151113,0
Bank First National Corporation,1021435,0
Bank Iowa Corporation,1021121,0
Bank Leumi Le-Israel Corporation,1021770,1
Bank Mutual Corporation,4056082,0
Bank of America Corporation,100369,1
Bank of Commerce Holdings,1016745,0
Bank of Hawaii Corporation,100161,1
Bank of Highland Park Financial Corporation,1021280,0
Bank of Kentucky Financial Corporation,1024571,0
Bank of Marin Bancorp,4164467,0
Bank of New York Mellon Corporation,100144,1
Bank of South Carolina Corporation,100149,0
Bank of Southside Virginia Corporation,1017950,0
Bank of the Carolinas Corporation,4142877,0
"Bank of the Ozarks, Inc.",1018441,1
BankFinancial Corporation,4044758,0
BankFirst Capital Corporation,1021889,0
"BankFive, MHC",4099030,0
BankGuam Holding Company,4288850,0
Bankmanagers Corp.,1021040,0
"BankUnited, Inc.",4235397,1
"Bankwell Financial Group, Inc.",4143686,0
Banner Corporation,1024098,1
Banorte USA Corporation,4157242,0
Banterra Corp.,4092229,0
Bar Harbor Bankshares,100824,0
"Baraboo Bancorporation, Inc.",1021513,0
Barclays Delaware Holdings LLC,4055854,1
Baylake Corp.,100909,0
BB&T Corporation,100438,1
"BBCN Bancorp, Inc.",4055174,1
"BBVA Compass Bancshares, Inc.",100186,1
"BCB Bancorp, Inc.",4087496,0
"Beach Community Bancshares, Inc.",4096800,0
Beacon Bancorp,1025085,0
Beal Financial Corporation,1032758,1
"Bear State Financial Holdings, LLC",4279418,0
"Belle Fourche Bancshares, Inc.",1020715,0
"Beresford Bancorporation, Inc.",1031142,0
Berkshire Bancorp Inc.,4040676,0
"Berkshire Hills Bancorp, Inc.",4054645,1
"Bessemer Group, Incorporated",1021783,0
"Blackhawk Bancorp, Inc.",100811,0
"Blackhawk Bancorporation, Inc.",1023059,0
"Blue Hills Bancorp, Inc.",4436012,0
"Blue Ridge Bancshares, Inc.",1023441,0
Blue Valley Ban Corp.,1022830,0
BMO Financial Corp.,1021754,1
BNC Bancorp,4086131,1
"BNCCORP, Inc.",100873,0
BNH Financial,4045518,0
"BofI Holding, Inc.",4055785,1
"Boiling Springs, MHC",4050550,0
BOK Financial Corporation,100003,1
"Boston Private Financial Holdings, Inc.",100758,1
"BOU Bancorp, Inc.",4064991,0
"Brand Group Holdings, Inc.",4094975,0
Bremer Financial Corporation,1016544,1
"Bridge Bancorp, Inc.",100670,0
Bridge Capital Holdings,4095493,0
"Bridgeview Bancorp, Inc.",1021507,0
"Briscoe Ranch, Inc.",1018668,0
"Broadway Bancshares, Inc.",1018838,0
"Brookline Bancorp, Inc.",4001623,1
"Brotherhood Bancshares, Inc.",1022836,0
Bryn Mawr Bank Corporation,100154,0
"BSB Bancorp, Inc.",4252679,0
BTC Financial Corporation,1021062,0
Builders Financial Corporation,1981048,0
"Business Bancshares, Inc.",4090783,0
"Business First Bancshares, Inc.",4149828,0
C&F Financial Corporation,100776,0
"C1 Financial, Inc.",4414591,0
Cache Valley Banking Company,1024719,0
"Cadence Bancorp, LLC",4250023,1
California First National Bancorp,105366,0
California Republic Bancorp,4307027,0
Cambridge Bancorp,1019036,0
"Cambridge Financial Group, Inc.",4045521,0
Camden National Corporation,101149,0
Canandaigua National Corporation,1019956,0
"Cape Bancorp, Inc.",4171846,0
Cape Cod Five Mutual Company,4311119,0
Capital Bank Financial Corp.,4255728,1
"Capital City Bank Group, Inc.",100774,0
Capital One Financial Corporation,103239,1
Capitol Bancorp Ltd.,100176,0
"Capitol Bancorporation, Inc.",1019526,0
"Capitol City Bancshares, Inc.",4041247,0
"Capitol Federal Financial, Inc.",4044379,1
Carbon County Holding Company,1023935,0
Cardinal Financial Corporation,4019138,0
"Carlile Bancshares, Inc.",4226915,0
"Carolina Bank Holdings, Inc.",4057409,0
Carolina Financial Corporation,1032808,0
"Carroll County Bancshares, Inc.",1021162,0
"Carver Bancorp, Inc.",112079,0
Cascade Bancorp,100589,0
"Cass Information Systems, Inc.",100886,0
Cathay General Bancorp,100173,1
"CB Financial Services, Inc.",4106596,0
CB&T Holding Corporation,1024421,0
"CBFH, Inc.",4167676,0
CBS Banc-Corp.,1022977,0
CBX Corporation,1023303,0
CCB Financial Corporation,1017034,0
"CCFNB Bancorp, Inc.",100683,0
Cenlar Capital Corporation,1031050,0
"CenterState Banks, Inc.",4053925,1
Centrabanc Corporation,1018802,0
"Central Bancompany, Inc.",1018337,1
"Central Bancorp, Inc.",4160611,0
Central Bancorporation,1016681,0
"Central Bancshares, Inc.",1021188,0
"Central Bancshares, Inc.",1022106,0
"Central Bancshares, Inc.",1024184,0
Central Community Corporation,1023118,0
"Central of Kansas, Inc.",1017598,0
Central Pacific Financial Corp.,100213,1
Central Service Corporation,1016961,0
Central Valley Community Bancorp,4057567,0
"Centre 1 Bancorp, Inc.",1021501,0
Centrue Financial Corporation,1021347,0
"Century Bancorp, Inc.",100209,1
Century Financial Services Corporation,1031007,0
"CertusHoldings, Inc.",4254286,0
"Chambers Bancshares, Inc.",1020564,0
Charleroi Financial MHC,4085977,0
Charles Schwab Corporation,102775,1
"Charter Bankshares, Inc.",4149138,0
Charter Financial Corporation,4065088,0
Chemical Financial Corporation,100200,1
Chemung Financial Corporation,100690,0
"Chesapeake Financial Shares, Inc.",100828,0
Cheviot Financial Corp.,4088228,0
"Chicopee Bancorp, Inc.",4120676,0
"Choice Financial Holdings, Inc.",1019364,0
"CIB Marine Bancshares, Inc.",1020404,0
CIT Group Inc.,102820,1
"Citco Community Bancshares, Inc.",1024367,0
Citigroup Inc.,4041896,1
Citizens & Northern Corporation,100693,0
Citizens Bancorp,1137102,0
"Citizens Bancorp Investment, Inc.",1020464,0
Citizens Bancshares Co.,1016926,0
"Citizens Bancshares of Batesville, Inc.",1019781,0
"Citizens Bancshares, Inc.",4093226,0
"Citizens Bank Holding, Inc.",1021382,0
"Citizens Bankshares, Inc.",1016598,0
"Citizens Community Bancorp, Inc.",4091023,0
"Citizens Financial Group, Inc.",1019881,1
"Citizens Financial Services, Inc.",100691,0
Citizens Holding Company,1018141,0
Citizens National Banc Corp.,4090761,0
"Citizens National Bancorp, Inc.",1022058,0
"Citizens National Bancshares of Bossier, Inc.",1024832,0
Citizens National Corporation,1017880,0
"Citizens Union Bancorp of Shelbyville, Inc.",1018472,0
City Holding Company,100199,0
City National Corporation,100225,1
"Citywide Banks of Colorado, Inc.",1017090,0
"Clayton Bancorp, Inc",4086221,0
Clifton Bancorp Inc.,4088092,0
"Clinton Financial Services, MHC",4092220,0
"CM Florida Holdings, Inc.",4222741,1
"CNB Bancshares, Inc.",1018294,0
"CNB Bank Shares, Inc.",1021757,0
CNB Corporation,1020003,0
CNB Financial Corporation,100790,0
"CNLBancshares, Inc.",1984124,0
"Coastal Affiliates, MHC",4155244,0
CoBiz Financial Inc.,1017371,0
"Coconut Grove Bankshares, Inc.",4055927,0
"Codorus Valley Bancorp, Inc.",100767,0
"ColoEast Bankshares, Inc.",1024155,0
"Colonial Financial Services, Inc.",4086904,0
"Colony Bankcorp, Inc.",100882,0
Columbia Bank MHC,1032024,1
"Columbia Banking System, Inc.",100754,1
Comerica Incorporated,100206,1
Commerce Bancshares Corp.,1025203,0
"Commerce Bancshares, Inc.",100184,1
"Commerce Bancshares, Inc.",1018693,0
Commerce Bank and Trust Holding Company,1017238,0
"Commerce National Financial Services, Inc.",1023163,0
Commercial Holding Company,1018588,0
"Commonwealth Bancshares, Inc.",1019131,0
"Commonwealth Holdings, L.L.C.",1024748,0
"Community & Southern Holdings, Inc.",4248843,0
"Community Bancorp, Inc.",1021883,0
Community Bancorp.,100696,0
"Community Bancshares of Mississippi, Inc.",1018023,0
"Community Bancshares, Inc.",1017828,0
"Community Bank Holdings of Texas, Inc.",1018720,0
"Community Bank of South Florida, Inc.",1018191,0
"Community Bank Shares of Indiana, Inc.",1024899,0
"Community Bank System, Inc.",100185,1
Community Bankers Trust Corporation,4100717,0
Community Financial Corporation,1032013,0
"Community Financial Services, Inc.",1018498,0
"Community First Bancshares, Inc.",1020498,0
"Community First Bancshares, Inc.",4048947,0
"Community Trust Bancorp, Inc.",100405,1
Community Trust Financial Corporation,1023406,1
Community West Bancshares,1137051,0
CommunityOne Bancorp,100805,0
Concordia Capital Corporation,1137106,0
"Conestoga Bancorp, Inc.",4143145,0
Connecticut Mutual Holding Company,4064629,0
"ConnectOne Bancorp, Inc.",100687,0
"Cornerstone Bancshares, Inc.",1019813,0
Cortland Bancorp,100699,0
"County Bancorp, Inc.",1032854,0
Crews Banking Corporation,1018043,0
"Croghan Bancshares, Inc.",1017886,0
"CrossFirst Holdings, LLC",4227418,0
"CSB Bancorp, Inc.",1023643,0
CTBC Capital Corp.,1022898,0
CU Bancorp,4308300,0
"CU Bank Shares, Inc.",1018676,0
"Cullen/Frost Bankers, Inc.",100196,1
Cummins-American Corp.,1021026,0
"Customers Bancorp, Inc.",4293992,1
CVB Financial Corp.,100224,1
D.L. Evans Bancorp,1024358,0
"Dacotah Banks, Inc.",1019181,0
"Dairy State Bancorp, Inc.",1019447,0
"Dakota Community Banshares, Inc.",1024492,0
DCB Financial Corp,1032889,0
Delmar Bancorp,1022077,0
Delta Bancshares Company,1018346,0
Deutsche Bank Trust Corporation,100168,1
"Diamond Bancorp, Inc.",1024595,0
"Diboll State Bancshares, Inc.",1018749,0
Dickinson Financial Corporation II,1024046,0
"Dime Community Bancshares, Inc.",102643,1
"Dimeco, Inc.",100888,0
"Discount Bancorp, Inc.",4056125,1
Discover Financial Services,4096334,1
DNB Financial Corporation,100765,0
Doral Financial Corporation,102801,1
"Duke Financial Group, Inc.",1019567,0
"Durant Bancorp, Inc.",1017277,0
E*TRADE Financial Corporation,105402,1
"Eagle Bancorp Montana, Inc.",4053493,0
"Eagle Bancorp, Inc.",4002078,1
"Eagle Financial Services, Inc.",1023603,0
"East Texas Bancshares, Inc.",1020137,0
"East West Bancorp, Inc.",4040606,1
Eastern Bank Corporation,1022658,1
"Eastern Virginia Bankshares, Inc.",1974273,0
"Educational Services of America, Inc.",4214720,0
"Embassy Bancorp, Inc.",4214573,0
Emclaire Financial Corp.,1022882,0
Emprise Financial Corporation,1020130,0
ENB Financial Corp,4206062,0
Entegra Financial Corp.,4290505,0
"Enterprise Bancorp, Inc.",1025202,0
Enterprise Financial Services Corp,1024631,0
"Equity Bancshares, Inc.",4086910,0
ESB Bancorp MHC,4228496,0
ESB Financial Corporation,101556,0
"ESSA Bancorp, Inc.",4149188,0
"Evangeline Bancshares, Inc.",1019928,0
"Evans Bancorp, Inc.",100885,0
EverBank Financial Corp,4047200,1
Extraco Corporation,1018756,0
F & M Bank Corp.,1017974,0
F & M Financial Corporation,1017982,0
F&M Financial Corporation,1020323,0
F.N.B. Corporation,100237,1
"F.N.B.C. of La Grange, Inc.",1021053,0
F.S. Bancorp,1021758,0
"Fairfield County Bank, MHC",4254681,0
Falcon Bancshares Incorporated,1024520,0
Farmers & Merchants Bancorp,4048393,0
"Farmers & Merchants Bancorp, Inc.",100964,0
"Farmers & Merchants Investment, Inc.",1017038,0
"Farmers and Merchants Bankshares, Inc.",1018608,0
Farmers Bancorp Inc.,1021903,0
Farmers Capital Bank Corporation,100257,0
"Farmers Enterprises, Inc.",1017097,0
Farmers National Banc Corp.,100716,0
Farmers State Corporation,1019293,0
"Fauquier Bankshares, Inc.",1017981,0
FB BanCorp,4051011,0
"FCB Financial Holdings, Inc.",4237263,1
"FCT Bancshares, Inc.",1024847,0
"Federal One Holdings, LLC",4247165,0
"FEO Investments, Inc.",1023444,0
"Fidelity BancShares (N.C.), Inc.",1022012,0
Fidelity Company,1021180,0
"Fidelity D & D Bancorp, Inc.",4051478,0
Fidelity Financial Corporation,1031047,0
Fidelity Holding Company,4108391,0
Fidelity Mutual Holding Company,4155249,0
Fidelity Southern Corporation,100845,0
Fifth Third Bancorp,100260,1
Financial Corporation of Louisiana,1024311,0
"Financial Holdings, Inc.",4142235,0
"Financial Institutions, Inc.",1016825,0
"FineMark Holdings, Inc.",4151811,0
"Finlayson Bancshares, Inc.",1019439,0
First American Bancorp,1020302,0
First American Bank Corporation,1020964,0
First American Financial Corporation,103412,1
First American International Corp.,4096796,0
"First Arkansas BancShares, Inc.",1018416,0
"First Artesia Bancshares, Inc.",1018933,0
"First Baird Bancshares, Inc.",1018790,0
First Bancorp,100240,0
"First Bancorp of Durango, Inc.",1023160,0
"First Bancorp, Inc.",1019988,0
